exp_num,network,num_workers,num_envs_per_worker,num_steps,total_steps,total_time,sps,setup_time,experience_collection_time,learning_time
109,large,2,3,64,8064,9.479819536209106,850,0.11117863655090332,6.546194553375244,2.933520555496216
110,large,2,3,128,7680,8.351965427398682,919,0.11063241958618164,5.871732234954834,2.48018479347229
111,large,2,3,256,15360,14.920724630355835,1029,0.11149263381958008,10.000739336013794,4.919931888580322
112,large,2,4,32,8192,7.995601654052734,1024,0.11126995086669922,5.396472692489624,2.598982810974121
113,large,2,4,64,8192,7.765249252319336,1054,0.10793328285217285,5.508639574050903,2.256531000137329
114,large,2,4,128,10240,8.864093780517578,1155,0.10384559631347656,6.25196099281311,2.6120800971984863
115,large,2,4,256,20480,14.494287252426147,1412,0.11086130142211914,9.585501909255981,4.9087347984313965
116,large,2,8,32,8192,5.8016839027404785,1412,0.12067413330078125,4.459709167480469,1.3418986797332764
117,large,2,8,64,10240,6.320858478546143,1620,0.10404086112976074,4.908385515213013,1.4124233722686768
118,large,2,8,128,20480,9.919533252716064,2064,0.1081230640411377,7.157733917236328,2.761739730834961
119,large,2,8,256,40960,16.3424870967865,2506,0.10333085060119629,11.132694959640503,5.209738731384277
120,small,1,16,32,8192,4.922245025634766,1664,1.7657864093780518,3.5271644592285156,1.3949947357177734
121,small,1,16,64,10240,5.02341628074646,2038,0.04094815254211426,3.7473018169403076,1.2760632038116455
122,small,1,16,128,20480,7.280383348464966,2813,0.040183067321777344,4.906640291213989,2.3736917972564697
123,small,1,16,256,40960,11.821233749389648,3464,0.0430452823638916,7.15295147895813,4.668232679367065
124,small,1,32,32,10240,4.495688199996948,2277,0.04095149040222168,3.7142412662506104,0.7813892364501953
125,small,1,32,64,20480,5.40039587020874,3792,0.03912711143493652,4.127797365188599,1.2725474834442139
126,small,1,32,128,40960,7.652431488037109,5352,0.05095648765563965,5.320950746536255,2.3314290046691895
127,small,1,32,256,65536,10.60093355178833,6182,0.03723645210266113,7.148897409439087,3.4519968032836914
128,small,2,16,32,10240,4.068058013916016,2517,0.07463264465332031,3.3708670139312744,0.6971402168273926
129,small,2,16,64,20480,5.3246190547943115,3846,0.0745694637298584,4.115610122680664,1.208958625793457
130,small,2,16,128,40960,8.062910318374634,5080,0.07329511642456055,5.761046409606934,2.3018150329589844
131,small,2,16,256,65536,10.921356439590454,6000,0.07781004905700684,7.485730409622192,3.4355854988098145
132,small,2,32,32,20480,4.4993226528167725,4551,0.07256150245666504,3.808987617492676,0.6902878284454346
133,small,2,32,64,40960,5.894821643829346,6948,0.07684040069580078,4.678742170333862,1.2160322666168213
134,small,2,32,128,65536,7.450987100601196,8795,0.07627987861633301,5.6715028285980225,1.7794454097747803
135,small,2,32,256,65536,7.28016996383667,9001,0.07221317291259766,5.538410902023315,1.741736888885498
136,medium,1,16,32,8192,4.443633317947388,1843,0.042830705642700195,3.3014984130859375,1.1420660018920898
137,medium,1,16,64,10240,4.752925157546997,2154,0.04236316680908203,3.5075275897979736,1.2453515529632568
138,medium,1,16,128,20480,6.865259408950806,2983,0.042765140533447266,4.58195948600769,2.2832508087158203
139,medium,1,16,256,40960,11.143312454223633,3675,0.04242968559265137,6.759099960327148,4.384163856506348
140,medium,1,32,32,10240,3.976641893386841,2575,0.04261660575866699,3.220651626586914,0.7559425830841064
141,medium,1,32,64,20480,5.257948398590088,3895,0.04205751419067383,3.971534252166748,1.286365270614624
142,medium,1,32,128,40960,7.766329050064087,5274,0.04310035705566406,5.436659097671509,2.3296215534210205
143,medium,1,32,256,65536,10.858647584915161,6035,0.043202877044677734,7.181649923324585,3.676957845687866
144,medium,2,16,32,10240,4.109186172485352,2491,0.0800163745880127,3.3681540489196777,0.7409849166870117
145,medium,2,16,64,20480,5.398705244064331,3793,0.08345937728881836,4.120465278625488,1.2781901359558105
146,medium,2,16,128,40960,7.823516130447388,5235,0.07782840728759766,5.503751516342163,2.3197133541107178
147,medium,2,16,256,65536,10.968921661376953,5974,0.0769948959350586,7.378382682800293,3.5904979705810547
148,medium,2,32,32,20480,4.734280347824097,4325,0.08311700820922852,3.825575351715088,0.9086525440216064
149,medium,2,32,64,40960,6.6382341384887695,6170,0.08910751342773438,5.2313454151153564,1.4068396091461182
150,medium,2,32,128,65536,7.614521026611328,8606,0.08225607872009277,5.660713195800781,1.9537653923034668
151,medium,2,32,256,65536,7.581828355789185,8643,0.07837677001953125,5.717857837677002,1.8639490604400635
152,large,1,16,32,8192,4.782933950424194,1712,0.07618308067321777,3.481177568435669,1.3016812801361084
153,large,1,16,64,10240,5.15497612953186,1986,0.07618546485900879,3.7621042728424072,1.3928194046020508
154,large,1,16,128,20480,7.515544652938843,2725,0.075408935546875,4.961607217788696,2.553887128829956
155,large,1,16,256,40960,12.296547651290894,3331,0.0762324333190918,7.429865837097168,4.866635799407959
156,large,1,32,32,10240,4.1669206619262695,2457,0.07644987106323242,3.348289966583252,0.8185832500457764
157,large,1,32,64,20480,5.647351264953613,3626,0.07605123519897461,4.220989942550659,1.4263098239898682
158,large,1,32,128,40960,8.61349868774414,4755,0.07097911834716797,5.956552505493164,2.656895637512207
159,large,1,32,256,65536,11.963683843612671,5477,0.06457233428955078,7.988577365875244,3.9750590324401855
160,large,2,16,32,10240,4.450926303863525,2300,0.1039891242980957,3.6265130043029785,0.824364423751831
161,large,2,16,64,20480,6.071563243865967,3373,0.10153079032897949,4.65521764755249,1.4162945747375488
162,large,2,16,128,40960,9.192639827728271,4455,0.11136031150817871,6.576050043106079,2.6165356636047363
163,large,2,16,256,65536,12.834147214889526,5106,0.10361456871032715,8.825703620910645,4.008400201797485
164,large,2,32,32,20480,4.837158679962158,4233,0.10109519958496094,3.9868719577789307,0.8502340316772461
165,large,2,32,64,40960,6.686861276626587,6125,0.11229968070983887,5.222858190536499,1.4639520645141602
166,large,2,32,128,65536,8.76830244064331,7474,0.10878658294677734,6.603619813919067,2.1646413803100586
167,large,2,32,256,65536,8.63848066329956,7586,0.10544705390930176,6.561490297317505,2.0769591331481934
168,small,1,64,32,20480,4.9031572341918945,4176,1.7591564655303955,3.9541091918945312,0.9489898681640625
169,small,1,64,64,40960,6.779709100723267,6041,0.04631638526916504,5.385905504226685,1.3937427997589111
170,small,1,64,128,65536,8.99433422088623,7286,0.04691934585571289,6.962353467941284,2.031931161880493
171,small,1,64,256,65536,10.219604730606079,6412,0.06194305419921875,8.047559976577759,2.172011137008667
172,small,1,128,32,40960,5.82422661781311,7032,0.06008481979370117,5.05545449256897,0.768714189529419
173,small,1,128,64,65536,6.825901508331299,9601,0.03986811637878418,5.779582262039185,1.046274185180664
174,small,1,128,128,65536,6.921175241470337,9468,0.03927206993103027,5.951222896575928,0.9699256420135498
175,small,1,128,256,65536,6.747518539428711,9712,0.0396723747253418,5.738124847412109,1.00937819480896
176,small,2,64,32,40960,5.006356954574585,8181,0.07648730278015137,4.251888036727905,0.7544102668762207
177,small,2,64,64,65536,6.16271448135376,10634,0.0750882625579834,5.12270975112915,1.0399534702301025
178,small,2,64,128,65536,6.019689559936523,10886,0.07737922668457031,5.057326793670654,0.9623353481292725
179,small,2,64,256,65536,6.00188684463501,10919,0.08236026763916016,5.070322036743164,0.931546688079834
180,small,2,128,32,65536,5.4825193881988525,11953,0.08141279220581055,4.741703033447266,0.7407691478729248
181,small,2,128,64,65536,5.335359334945679,12283,0.07650876045227051,4.73013710975647,0.6051957607269287
182,small,2,128,128,65536,5.282212018966675,12406,0.08343148231506348,4.721247434616089,0.5609471797943115
183,small,2,128,256,65536,5.234785318374634,12519,0.08220481872558594,4.697695970535278,0.5370771884918213
184,medium,1,64,32,20480,4.801740884780884,4265,0.04346585273742676,3.808495044708252,0.9931929111480713
185,medium,1,64,64,40960,6.5602781772613525,6243,0.05115342140197754,5.056617021560669,1.5036039352416992
186,medium,1,64,128,65536,8.536839008331299,7676,0.05079197883605957,6.514726877212524,2.022066354751587
187,medium,1,64,256,65536,8.458398342132568,7748,0.044527292251586914,6.489169120788574,1.9691970348358154
188,medium,1,128,32,40960,5.879403352737427,6966,0.04372692108154297,4.73874306678772,1.1406052112579346
189,medium,1,128,64,65536,7.365778923034668,8897,0.046042680740356445,5.879357099533081,1.4863758087158203
190,medium,1,128,128,65536,7.255492687225342,9032,0.043972015380859375,5.8530895709991455,1.4023778438568115
191,medium,1,128,256,65536,7.277484655380249,9005,0.04512786865234375,5.91246771812439,1.3649988174438477
192,medium,2,64,32,40960,5.384122610092163,7607,0.08403539657592773,4.303355693817139,1.0807039737701416
